# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=^$ -bench='^(BenchmarkTableModelSetRows|BenchmarkTableModelAppend|BenchmarkTableModelApplyDelta|BenchmarkOutlineModelSetRoots)$' -benchmem -count=10 -benchtime=2s .
# Pre-P5 state: TableModel.SetRows rebuilds the full slice on every call.
# ApplyDelta/Append/Insert/Remove are stubs that route through SetRows.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkTableModelApplyDelta/move-16                	  191750	     12832 ns/op	  109265 B/op	      10 allocs/op
BenchmarkTableModelApplyDelta/move-16                	  188492	     12741 ns/op	  109265 B/op	      10 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  368439	      6690 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  358850	      6659 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  353539	      6623 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  362403	      6567 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  361617	      6647 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  363012	      6586 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  365821	      6538 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  366009	      6617 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  368395	      6628 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/64-16                  	  362475	      6590 ns/op	    9863 B/op	      20 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23556	    101727 ns/op	  150187 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23266	    102611 ns/op	  150189 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23436	    101764 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23529	    102337 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23559	    101855 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   22719	    102002 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23518	    102885 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23323	    102143 ns/op	  150188 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23437	    102480 ns/op	  150189 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/1024-16                	   23468	    103298 ns/op	  150189 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1171	   2050754 ns/op	 2400959 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1173	   2081013 ns/op	 2400923 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1170	   2071568 ns/op	 2400654 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1147	   2106790 ns/op	 2401174 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1131	   2337202 ns/op	 2401560 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1156	   2074091 ns/op	 2401154 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1147	   2117159 ns/op	 2401120 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1170	   2069919 ns/op	 2400741 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1159	   2067573 ns/op	 2401251 B/op	     186 allocs/op
BenchmarkOutlineModelSetRoots/16384-16               	    1161	   2058767 ns/op	 2401228 B/op	     186 allocs/op
PASS
ok  	github.com/tmc/swiftui	368.766s
