# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Post-P1 state: withCStringPooled (sync.Pool scratch) + gostringFast (one-pass inbound)
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkCStringGoString/1024-16          	 3165181	       713.9 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 3736082	       732.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 2910867	      1107 ns/op	    1024 B/op	       1 allocs/op
BenchmarkTableModelSetRows-16             	   13624	    176986 ns/op	   68403 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   12894	    288439 ns/op	   68405 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   14048	    226165 ns/op	   68403 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   10000	    245667 ns/op	   68405 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   12064	    198581 ns/op	   68403 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   13174	    184262 ns/op	   68400 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   10000	    244766 ns/op	   68404 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   10000	    258185 ns/op	   68402 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   12516	    186318 ns/op	   68402 B/op	      12 allocs/op
BenchmarkTableModelSetRows-16             	   10000	    213636 ns/op	   68404 B/op	      12 allocs/op
BenchmarkOutlineModelSetRoots-16          	   12709	    206949 ns/op	  150151 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   10000	    292843 ns/op	  150156 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   11989	    187128 ns/op	  150168 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   13015	    186467 ns/op	  150163 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   12794	    172095 ns/op	  150167 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   10000	    211336 ns/op	  150157 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	    8845	    357308 ns/op	  150159 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   11023	    191484 ns/op	  150167 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   12358	    207595 ns/op	  150167 B/op	      31 allocs/op
BenchmarkOutlineModelSetRoots-16          	   10000	    207739 ns/op	  150147 B/op	      31 allocs/op
BenchmarkNativeTableModelSetRows-16       	   24210	    140340 ns/op	  147298 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   33166	     82074 ns/op	  147313 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   36499	     70234 ns/op	  147308 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   26998	     77809 ns/op	  147311 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   43905	     71248 ns/op	  147323 B/op	      20 allocs/op
BenchmarkNativeTableModelSetRows-16       	   40100	     65054 ns/op	  147316 B/op	      20 allocs/op
