# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# a2ui tip: 414e025ed93df3ef320367f6d41ad20ede418078
# Date: 2026-04-16T23:34:13Z
# Command: GOWORK=off go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .

goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkWithCString/1024-16              	100000000	        22.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkCStringGoString/16-16            	162766160	        14.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	143179533	        17.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	158661010	        14.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	180739874	        13.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	184094132	        13.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	184778764	        13.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	184858087	        12.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	185951859	        13.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	183778485	        13.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/16-16            	183685611	        12.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	44867640	        55.04 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	43061331	        54.64 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	42827188	        55.18 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	43810909	        54.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	43850799	        54.69 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	43340824	        55.71 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	40804586	        59.39 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	42091140	        80.87 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	33364032	        62.09 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/128-16           	42824832	        61.81 ns/op	     128 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6393558	       371.2 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6876392	       347.8 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6948081	       351.0 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6218012	       382.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6917532	       344.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 7047410	       347.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6944524	       340.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6971566	       343.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6892318	       340.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkCStringGoString/1024-16          	 6990211	       345.3 ns/op	    1024 B/op	       1 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.031 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.072 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         2.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.247 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.239 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.089 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetSame-16               	1000000000	         1.035 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntStateSetChanging-16           	10733052	       252.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	 7204057	       315.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	 9007575	       243.5 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	10743174	       225.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	11051548	       221.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	10721209	       219.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	11016496	       219.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	11047879	       219.4 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	10806247	       217.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkIntStateSetChanging-16           	11038328	       219.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.331 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	996419461	         2.373 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.404 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	982221447	         2.363 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	990822162	         2.347 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	986397982	         2.326 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSetSame-16            	1000000000	         2.359 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateGetRepeated-16        	 2846629	       838.7 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2856073	       845.6 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2844802	       847.1 ns/op	     192 B/op	      16 allocs/op
BenchmarkStringStateGetRepeated-16        	 2850673	       849.6 ns/op	     192 B/op	      16 allocs/op
