# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Pre-P1 state: unpooled withCString + append-growth cString/cStringToGoString
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkCStringGoString/16-16            	18190074	       132.2 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	26551315	       113.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	20308326	       143.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	20467466	       124.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	 9811413	       205.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	20123599	       156.0 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	15592480	       170.6 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	25543972	       112.8 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	25094130	        96.89 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/16-16            	21724478	        94.42 ns/op	      40 B/op	       3 allocs/op
BenchmarkCStringGoString/128-16           	 5461735	       432.7 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 6064198	       387.4 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 3956798	       519.5 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 5524857	       423.0 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 2982668	       713.8 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 4756107	       472.0 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 6165426	       385.2 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 6510163	       338.2 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	11744828	       382.9 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/128-16           	 8691830	       338.1 ns/op	     376 B/op	       6 allocs/op
BenchmarkCStringGoString/1024-16          	 1308586	      1738 ns/op	    4344 B/op	      10 allocs/op
BenchmarkCStringGoString/1024-16          	 1125235	      1928 ns/op	    4344 B/op	      10 allocs/op
BenchmarkCStringGoString/1024-16          	  890263	      2282 ns/op	    4344 B/op	      10 allocs/op
